Sample,TE,All_reads,HQ_reads
SRR1560097,1360,39.88,25.03
SRR1560097,6,0.32,0.04
SRR1560097,1731,11.75,10.58
SRR1560097,297,15.06,10.49
SRR1560097,412,5.94,2.55
SRR1560097,accord,7.86,6.69
SRR1560097,accord2,4.97,3.95
SRR1560097,Baggins1,53.82,47.27
SRR1560097,Bari1,11.43,11.31
SRR1560097,Bari2,0.49,0.23
SRR1560097,BEL,13.51,11.59
SRR1560097,Bica,5.07,4.73
SRR1560097,blood,5.66,5.07
SRR1560097,BS,4.96,2.36
SRR1560097,BS2,18.00,0.54
SRR1560097,BS3,4.77,3.64
SRR1560097,BS4,2.85,2.05
SRR1560097,Burdock,10.05,8.83
SRR1560097,Chimpo,6.03,5.39
SRR1560097,Chouto,8.44,6.47
SRR1560097,Circe,7.55,6.33
SRR1560097,copia,10.49,9.53
SRR1560097,copia2,3.65,0.08
SRR1560097,diver,4.05,3.26
SRR1560097,diver2,24.11,18.15
SRR1560097,Dm88,4.23,0.08
SRR1560097,dmau_Antennapedia,1.00,0.99
SRR1560097,dmau_Osi6,0.85,0.84
SRR1560097,dmau_wingless,1.00,0.98
SRR1560097,DMRT1A,115.01,101.67
SRR1560097,DMRT1C,18.57,13.57
SRR1560097,DNAREP1,280.08,70.35
SRR1560097,DNAREP1-like,6.85,0.05
SRR1560097,Doc,24.00,22.85
SRR1560097,Doc2,20.37,19.77
SRR1560097,Doc3,19.24,16.49
SRR1560097,Doc4,2.56,1.83
SRR1560097,Doc5,8.49,6.86
SRR1560097,F-element,20.95,6.58
SRR1560097,family-0_Copia-like,3.78,0.37
SRR1560097,family-0_MULE-NOF,14.23,1.45
SRR1560097,family-100_HMS-beagle,0.00,0.00
SRR1560097,family-105_gypsy,0.39,0.04
SRR1560097,family-110_gypsy_SAP,9.55,8.49
SRR1560097,family-1124_gypsy-frag,2.46,1.96
SRR1560097,family-113_micropia-like,1.21,0.59
SRR1560097,family-117_gypsy,15.51,5.47
SRR1560097,family-1205_Tc3,0.04,0.00
SRR1560097,family-134_gypsy,8.70,3.00
SRR1560097,family-139_FW2-like,16.41,3.43
SRR1560097,family-1439_Tc3,0.55,0.01
SRR1560097,family-149_HMS-beagle,0.12,0.00
SRR1560097,family-15_G-like,3.59,0.18
SRR1560097,family-2202_Pao,5.06,2.28
SRR1560097,family-2226_Tc1-like,1.85,0.44
SRR1560097,family-2266_Blastopia-like,0.05,0.01
SRR1560097,family-252_hAT_BEDzf,0.35,0.21
SRR1560097,family-325_gypsy,5.56,4.24
SRR1560097,family-358_hAT,4.35,3.33
SRR1560097,family-3655_gypsy,0.91,0.40
SRR1560097,family-3830_accord-like,0.72,0.57
SRR1560097,family-4408_gypsy,2.36,0.03
SRR1560097,family-447_HETA-like,1.00,0.17
SRR1560097,family-4955_hAT,0.60,0.36
SRR1560097,family-49_Tc3,0.07,0.00
SRR1560097,family-5171_Pao,0.01,0.00
SRR1560097,family-53_gypsy_truncated,17.40,4.19
SRR1560097,family-58_micropia-like,5.49,5.20
SRR1560097,family-6086_diver,6.05,3.03
SRR1560097,family-63_micropia-like,9.68,7.30
SRR1560097,family-70_diver-like,3.63,0.52
SRR1560097,family-70_Diver2-like,4.70,2.24
SRR1560097,family-7121_ninja-like,7.58,4.30
SRR1560097,family-732_gypsy,6.04,4.58
SRR1560097,family-92_copia-like,0.00,0.00
SRR1560097,family-966_Pao,3.85,1.33
SRR1560097,family-999_gypsy,0.51,0.08
SRR1560097,FB,24.46,6.71
SRR1560097,flea,10.82,10.21
SRR1560097,frogger,1.31,1.01
SRR1560097,Fw2,4.51,3.60
SRR1560097,Fw3,1.65,1.20
SRR1560097,G-element,1.41,0.00
SRR1560097,G2,10.88,3.79
SRR1560097,G3,0.24,0.07
SRR1560097,G4,4.41,3.80
SRR1560097,G5,12.15,9.39
SRR1560097,G5A,4.91,3.35
SRR1560097,G6,45.73,43.85
SRR1560097,GATE,16.12,13.88
SRR1560097,Gedeo_Dmel,1.02,0.19
SRR1560097,gtwin,0.89,0.23
SRR1560097,gypsy,6.80,4.14
SRR1560097,gypsy10,0.40,0.04
SRR1560097,gypsy11,2.36,0.88
SRR1560097,gypsy12,7.63,3.94
SRR1560097,gypsy12A,4.09,1.50
SRR1560097,gypsy2,0.59,0.23
SRR1560097,gypsy2S,0.77,0.34
SRR1560097,gypsy3,2.90,1.38
SRR1560097,gypsy4,3.74,3.30
SRR1560097,gypsy5,2.84,2.02
SRR1560097,gypsy6,5.70,1.70
SRR1560097,gypsy7,1.84,1.37
SRR1560097,gypsy8,10.52,5.46
SRR1560097,gypsy9,0.88,0.50
SRR1560097,HB,32.14,17.42
SRR1560097,Helena,11.14,10.27
SRR1560097,HeT-A,0.62,0.01
SRR1560097,HMS-Beagle,15.86,12.57
SRR1560097,hobo,7.24,6.24
SRR1560097,hopper,5.24,0.02
SRR1560097,hopper2,0.56,0.18
SRR1560097,I-element,28.80,24.34
SRR1560097,Idefix,5.84,2.65
SRR1560097,invader1,6.83,4.17
SRR1560097,invader2,14.82,13.26
SRR1560097,invader3,7.15,6.21
SRR1560097,invader4,2.52,1.03
SRR1560097,invader5,1.08,0.39
SRR1560097,Ivk,11.22,9.95
SRR1560097,jockey,6.53,6.37
SRR1560097,jockey2,3.02,2.01
SRR1560097,Juan,23.74,23.58
SRR1560097,looper1,1.92,1.51
SRR1560097,M4DM,16.63,5.05
SRR1560097,mariner2,5.09,3.55
SRR1560097,Max-element,11.84,10.17
SRR1560097,McClintock,6.52,0.23
SRR1560097,mdg1,10.17,8.64
SRR1560097,mdg3,11.73,10.09
SRR1560097,micropia,10.04,8.30
SRR1560097,Minos_DM,0.22,0.03
SRR1560097,ninja-aurora,4.19,3.40
SRR1560097,NOF,0.27,0.09
SRR1560097,Nomad,4.92,4.07
SRR1560097,P-element,0.00,0.00
SRR1560097,Phanio_Dmel,9.77,6.95
SRR1560097,Phidippo_Dmel,13.10,11.04
SRR1560097,Pifo_A,0.09,0.05
SRR1560097,pogo,0.00,0.00
SRR1560097,Quasimodo,0.30,0.08
SRR1560097,Quasimodo2,5.42,0.01
SRR1560097,R1,33.54,5.52
SRR1560097,R1-2,0.88,0.50
SRR1560097,R1A1-element,14.02,1.45
SRR1560097,R2-element,24.72,23.32
SRR1560097,rnd-1_family-13_jockey,2.12,0.19
SRR1560097,rnd-1_family-1_copia,8.71,2.76
SRR1560097,rnd-1_family-85_gypsy,11.19,3.88
SRR1560097,rnd-5_family-560_Pao,9.55,4.78
SRR1560097,roo,24.58,20.35
SRR1560097,rooA,18.29,13.13
SRR1560097,rover,0.62,0.11
SRR1560097,Rt1a,2.29,1.17
SRR1560097,Rt1b,17.51,14.30
SRR1560097,S-element,1.21,0.17
SRR1560097,S2,0.74,0.31
SRR1560097,springer,1.13,0.29
SRR1560097,Stalker,7.68,0.34
SRR1560097,Stalker2,7.33,5.50
SRR1560097,Stalker4,10.22,0.15
SRR1560097,Tabor,11.00,9.06
SRR1560097,TAHRE,0.85,0.26
SRR1560097,TART-A,2.41,1.07
SRR1560097,TART-B,1.31,0.30
SRR1560097,TART-C,0.61,0.12
SRR1560097,Tc1-2,12.06,10.34
SRR1560097,Tc1_DM,24.58,18.85
SRR1560097,Tc3,0.01,0.00
SRR1560097,Tirant,2.82,2.04
SRR1560097,Tom,4.07,1.78
SRR1560097,transib1,14.26,12.68
SRR1560097,Transib2,15.95,12.53
