Sample,TE,All_reads,HQ_reads
SRR1560097,ACCORD2_I_LTR_Gypsy,4.47,3.61
SRR1560097,ACCORD_I_LTR_Gypsy,7.95,7.79
SRR1560097,Baggins1_Non_LTR_retrotransposon_LOA,52.15,45.34
SRR1560097,BARI1_DNA_TcMar_Tc1,2.42,0.34
SRR1560097,BARI_DM_DNA_TcMar_Tc1,11.44,11.31
SRR1560097,BATUMI_I_LTR_Pao,16.33,13.84
SRR1560097,BEL1_I_Dmoj_LTR_Pao,0.00,0.00
SRR1560097,BEL1_I_Dpse_LTR_Pao,0.00,0.00
SRR1560097,BEL1_I_DV_LTR_Pao,0.00,0.00
SRR1560097,BEL1_I_Dya_LTR_Pao,0.00,0.00
SRR1560097,BEL2_I_Dmoj_LTR_Pao,0.00,0.00
SRR1560097,BEL2_I_Dpse_LTR_Pao,0.00,0.00
SRR1560097,BEL2_I_Dya_LTR_Pao,0.04,0.00
SRR1560097,BEL3_DM_I_LTR_Pao,0.00,0.00
SRR1560097,BEL3_I_Dpse_LTR_Pao,0.00,0.00
SRR1560097,BEL_10_DAn_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_10_DBp_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_10_DEl_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_10_DTa_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_10_DWil_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_11_DAn_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_11_DBp_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_11_DEl_I_LTR_Pao,0.07,0.01
SRR1560097,BEL_11_DTa_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_11_DWil_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_12_DAn_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_12_DBp_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_12_DEl_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_12_DTa_I_LTR_Pao,0.00,0.00
